		20代まで初婚率	30代まで初婚率			平均μ	σ	分散σ^2	
		90.00%	97.03%			0	0.5	0.25	
		SUM($E$9:$E$368)	SUM($E$9:$E$488)				SQRT($I$2)		
		婚姻最小	婚姻最大	年齢乗算	生涯婚姻率	妊娠最小	妊娠最大	年齢乗算	
		13	60	0.1183	98.00%	14.17	49.08	0.1183	1550.82%
合計/SUM		1.0140635E+02	1.57E+03	98.00%		1.0120423E+02	8.63E+02	1550.82%	798.94%
		EXP(-1*POW(LN(D9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*D9)	IF(OR($B9-C$5<=0,D$5-$B9<=0),1E-100,($B9-C$5)*E$5)			EXP(-1*POW(LN(H9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*H9)	IF(OR($B9-G$5<=0,H$5-$B9<=0),1E-100,($B9-G$5)*I$5)		
番号	月齢	a	x1	初婚率	初婚率合計	b	x2	出産確率	合計特殊出生率
184	15.33	1.05E-01	2.76E-01	0.10%	0.54%	2.27E-03	1.38E-01	0.03%	0.00%
185	15.42	1.21E-01	2.86E-01	0.12%	0.66%	3.62E-03	1.48E-01	0.06%	0.00%
186	15.50	1.39E-01	2.96E-01	0.13%	0.80%	5.51E-03	1.58E-01	0.08%	0.00%
187	15.58	1.57E-01	3.06E-01	0.15%	0.95%	8.06E-03	1.68E-01	0.12%	0.00%
188	15.67	1.77E-01	3.15E-01	0.17%	1.12%	1.14E-02	1.77E-01	0.17%	0.00%
189	15.75	1.97E-01	3.25E-01	0.19%	1.31%	1.56E-02	1.87E-01	0.24%	0.00%
190	15.83	2.18E-01	3.35E-01	0.21%	1.52%	2.08E-02	1.97E-01	0.32%	0.00%
191	15.92	2.40E-01	3.45E-01	0.23%	1.75%	2.70E-02	2.07E-01	0.41%	0.00%
192	16.00	2.63E-01	3.55E-01	0.25%	2.01%	3.44E-02	2.17E-01	0.53%	0.00%
193	16.08	2.86E-01	3.65E-01	0.28%	2.28%	4.30E-02	2.27E-01	0.66%	0.00%
194	16.17	3.10E-01	3.75E-01	0.30%	2.58%	5.29E-02	2.37E-01	0.81%	0.00%
195	16.25	3.34E-01	3.84E-01	0.32%	2.90%	6.40E-02	2.46E-01	0.98%	0.01%
196	16.33	3.58E-01	3.94E-01	0.35%	3.25%	7.65E-02	2.56E-01	1.17%	0.01%
197	16.42	3.82E-01	4.04E-01	0.37%	3.62%	9.02E-02	2.66E-01	1.38%	0.01%
198	16.50	4.07E-01	4.14E-01	0.39%	4.01%	1.05E-01	2.76E-01	1.61%	0.02%
199	16.58	4.31E-01	4.24E-01	0.42%	4.43%	1.21E-01	2.86E-01	1.86%	0.02%
200	16.67	4.56E-01	4.34E-01	0.44%	4.87%	1.39E-01	2.96E-01	2.12%	0.03%
201	16.75	4.80E-01	4.44E-01	0.46%	5.33%	1.57E-01	3.06E-01	2.41%	0.04%
202	16.83	5.04E-01	4.53E-01	0.49%	5.82%	1.77E-01	3.15E-01	2.71%	0.05%
203	16.92	5.27E-01	4.63E-01	0.51%	6.33%	1.97E-01	3.25E-01	3.02%	0.07%
204	17.00	5.50E-01	4.73E-01	0.53%	6.86%	2.18E-01	3.35E-01	3.34%	0.09%
205	17.08	5.73E-01	4.83E-01	0.55%	7.42%	2.40E-01	3.45E-01	3.68%	0.11%
206	17.17	5.95E-01	4.93E-01	0.57%	7.99%	2.63E-01	3.55E-01	4.03%	0.13%
207	17.25	6.16E-01	5.03E-01	0.60%	8.59%	2.86E-01	3.65E-01	4.38%	0.16%
208	17.33	6.37E-01	5.13E-01	0.62%	9.20%	3.10E-01	3.75E-01	4.75%	0.19%
209	17.42	6.57E-01	5.22E-01	0.64%	9.84%	3.34E-01	3.84E-01	5.11%	0.23%
210	17.50	6.77E-01	5.32E-01	0.65%	10.49%	3.58E-01	3.94E-01	5.49%	0.27%
211	17.58	6.96E-01	5.42E-01	0.67%	11.16%	3.82E-01	4.04E-01	5.86%	0.31%
212	17.67	7.13E-01	5.52E-01	0.69%	11.85%	4.07E-01	4.14E-01	6.24%	0.36%
213	17.75	7.31E-01	5.62E-01	0.71%	12.56%	4.31E-01	4.24E-01	6.61%	0.42%
214	17.83	7.47E-01	5.72E-01	0.72%	13.28%	4.56E-01	4.34E-01	6.98%	0.48%
215	17.92	7.62E-01	5.82E-01	0.74%	14.02%	4.80E-01	4.44E-01	7.35%	0.55%
216	18.00	7.77E-01	5.92E-01	0.75%	14.77%	5.04E-01	4.53E-01	7.72%	0.62%
217	18.08	7.91E-01	6.01E-01	0.76%	15.53%	5.27E-01	4.63E-01	8.08%	0.69%
218	18.17	8.04E-01	6.11E-01	0.78%	16.31%	5.50E-01	4.73E-01	8.43%	0.78%
219	18.25	8.16E-01	6.21E-01	0.79%	17.10%	5.73E-01	4.83E-01	8.78%	0.86%
220	18.33	8.27E-01	6.31E-01	0.80%	17.90%	5.95E-01	4.93E-01	9.12%	0.96%
221	18.42	8.38E-01	6.41E-01	0.81%	18.71%	6.16E-01	5.03E-01	9.45%	1.05%
222	18.50	8.48E-01	6.51E-01	0.82%	19.53%	6.37E-01	5.13E-01	9.77%	1.16%
223	18.58	8.56E-01	6.61E-01	0.83%	20.36%	6.57E-01	5.22E-01	10.07%	1.27%
224	18.67	8.64E-01	6.70E-01	0.84%	21.19%	6.77E-01	5.32E-01	10.37%	1.38%
225	18.75	8.72E-01	6.80E-01	0.84%	22.03%	6.96E-01	5.42E-01	10.66%	1.49%
226	18.83	8.78E-01	6.90E-01	0.85%	22.88%	7.13E-01	5.52E-01	10.93%	1.61%
227	18.92	8.84E-01	7.00E-01	0.85%	23.74%	7.31E-01	5.62E-01	11.20%	1.74%
228	19.00	8.89E-01	7.10E-01	0.86%	24.59%	7.47E-01	5.72E-01	11.45%	1.87%
229	19.08	8.93E-01	7.20E-01	0.86%	25.46%	7.62E-01	5.82E-01	11.68%	2.00%
230	19.17	8.96E-01	7.30E-01	0.87%	26.32%	7.77E-01	5.91E-01	11.91%	2.13%
231	19.25	8.99E-01	7.39E-01	0.87%	27.19%	7.91E-01	6.01E-01	12.12%	2.27%
232	19.33	9.01E-01	7.49E-01	0.87%	28.06%	8.04E-01	6.11E-01	12.32%	2.41%
233	19.42	9.03E-01	7.59E-01	0.87%	28.94%	8.16E-01	6.21E-01	12.51%	2.55%
234	19.50	9.04E-01	7.69E-01	0.87%	29.81%	8.27E-01	6.31E-01	12.68%	2.69%
235	19.58	9.04E-01	7.79E-01	0.87%	30.68%	8.38E-01	6.41E-01	12.84%	2.83%
236	19.67	9.04E-01	7.89E-01	0.87%	31.56%	8.48E-01	6.51E-01	12.99%	2.97%
