key	en-US	longitude	latitude	first_julian_day	last_julian_day	min_size	max_size
Roma166	NICOPOLIS AD ISTRUM	25.611111	43.217222	1759046	2100000	1	32
Roma167	AQUINCUM	19.049444	47.564167	1759046	2100000	1	32
Roma168	NICOPOLIS AD NESTUM	23.795833	41.595556	1760142	2100000	1	32
Roma169	ULPIA TRAIANA SARMIZEGETUSA	22.783333	45.516667	1760507	2100000	1	32
Roma170	APULUM	23.5727	46.0679	1760872	2100000	1	32
Roma171	PONS AELIUS	-1.609982	54.968811	1765255	2100000	1	32
Roma172	DUROVIGUTUM	-0.1725	52.3176	1765255	2100000	1	32
Roma173	HADRIANOPOLIS	26.555556	41.676944	1767081	2100000	1	32
Roma174	AELIA CAPITOLINA	35.23104	31.775689	1769273	2100000	1	32
Roma175	ALA	10.1	48.833333	1776212	2100000	1	32
Roma176	CASTRA REGINA	12.083333	49.016667	1786804	2100000	1	32
Roma177	THERANDA	20.739167	42.212778	1776212	2100000	1	32
Roma178	POMARIA	-1.316667	34.882778	1776212	2100000	1	32
Roma179	PARTISCUM	20.145	46.255	1776212	2100000	1	32
Roma180	CALISIA	18.08	51.7575	1776212	2100000	1	32
Roma181	DESA	22.94679	43.82655	1812737	2100000	1	32
Roma182	AURELIA AQUENSIS	8.240833	48.762778	1798127	2100000	1	32
Roma183	URBS AURELIANORUM	1.909	47.9025	1821137	2100000	1	32
Roma184	CONSTANTINOPOLIS	28.98	41.0125	1841956	2100000	1	32
Roma185	KOVACHEVSKO KALE	26.583333	43.25	1834651	2100000	1	32
Roma186	VENETIAE	12.335833	45.4375	1875193	2100000	1	32
Roma187	RAGUSIUM	18.108333	42.640278	1958834	2100000	1	32
Roma188	POMPEII	14.486111	40.75	1593591	2100000	1	32
Roma189	CAPUA	14.213889	41.105556	1598339	2100000	1	32
Roma190	THESSALONICA	22.934722	40.640278	1606740	2100000	1	32
Roma191	VOLUBILIS	-5.553611	34.071111	1630115	2100000	1	32
Roma192	SOPIANAE	18.233056	46.071111	1776212	2100000	1	32
Roma193	ARRABONA	17.6344	47.6842	1539170	2100000	1	32
Roma194	SCARBANTIA	16.58305	47.68489	1593956	2100000	1	32
Roma195	BARIUM	16.866667	41.125278	1614775	2100000	1	32
Roma196	ANTIOCHIA	36.160556	36.2025	1614775	2100000	1	32
Roma197	ASCULUM	13.583333	42.85	1623906	2100000	1	32
Roma198	DYRRACHIUM	19.439167	41.311111	1638151	2100000	1	32
Roma199	BRIXIA	10.216667	45.541667	1639612	2100000	1	32
Roma200	MEDIOLANUM	9.19	45.466944	1640707	2100000	1	32
Roma201	COMUM	9.083333	45.816667	1650204	2100000	1	32
Roma202	COLONIA AUGUSTA ACHAICA PATRENSIS	21.733333	38.25	1668466	2100000	1	32
Roma203	TINGI	-5.816667	35.783333	1668466	2100000	1	32
Roma204	ATTALIA	30.7075	36.8874	1673214	2100000	1	32
Roma205	PATAVIUM	11.866667	45.416667	1689285	2100000	1	32
Roma206	ROMULA	24.366667	44.183333	1703164	2100000	1	32
Roma207	SUCIDAVA	24.4591	43.7644	1703164	2100000	1	32
Roma208	SPALATUM	16.44	43.51	1693302	2100000	1	32
Roma209	NICOMEDIA	29.9175	40.7625	1694763	2100000	1	32
Roma210	NICAEA	29.7195	40.429	1695494	2100000	1	32
Roma211	TARSUS	34.8951	36.9165	1697320	2100000	1	32
Roma212	BERYTUS	35.505139	33.895778	1698416	2100000	1	32
Roma213	ULPIA SERDICA	23.33	42.7	1711199	2100000	1	32
Roma214	COLONIA ULPIA TRAIANA RATIARIA	22.907778	43.816944	1711199	2100000	1	32
Roma215	POETOVIO	15.869444	46.419444	1716313	2100000	1	32
Roma216	NEVIODUNUM	15.481397	45.919694	1716313	2100000	1	32
Roma217	CELEIA	15.2675	46.235833	1716313	2100000	1	32
Roma218	NAUPORTUS	14.293736	45.962375	1716313	2100000	1	32
Roma219	SOLVA	18.740278	47.785556	1724713	2100000	1	32
Roma220	COLONIA ULPIA OESCENSIUM (OESCUS)	24.483333	43.7	1725078	2100000	1	32
Roma221	ODESSOS	27.916667	43.216667	1726905	2100000	1	32
Roma222	COLONIA CLAUDIA CAESAREA	2.19	36.6075	1737497	2100000	1	32
Roma223	AQUAE CALIDAE	27.393225	42.610935	1738227	2100000	1	32
Roma224	CABYLE	26.484167	42.550556	1738227	2100000	1	32
Roma225	DEVELTOS	27.289028	42.391361	1738227	2100000	1	32
Roma226	PHILIPPOPOLIS	24.748889	42.143333	1738227	2100000	1	32
Roma227	ULPIA AUGUSTA TRAIANA	25.634444	42.425556	1738227	2100000	1	32
Roma228	DIOCLETIANOPOLIS	24.7	42.5	1738227	2100000	1	32
Roma229	TRAPEZUS	39.7225	41.005	1744802	2100000	1	32
Roma230	SEXAGINTA PRISTA	25.953889	43.823056	1746628	2100000	1	32
Roma231	DROBETA	22.668056	44.625	1739688	2100000	1	32
Roma232	ABRITUS	26.551667	43.521111	1757950	2100000	1	32
Roma233	MARCIANOPOLIS	27.585	43.225	1760142	2100000	1	32
Roma234	DUROSTORUM	27.260556	44.117222	1760142	2100000	1	32
Roma235	PAUTALIA	22.683333	42.283333	1760142	2100000	1	32
Roma236	ARTAXATA	44.576389	39.885	1764159	2100000	1	32
