key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
SamgukSagi909	進仍乙郡	Jiningeul	127.453977	36.08517104	0.1	4	1721424	1997930
SamgukSagi910	進禮郡	Jinrye	127.453977	36.08517104	0.1	4	1997931	9999999
SamgukSagi911	豆尸伊縣(富尸伊縣)	Dusii	127.5388542	36.04548669	0.1	2	1721424	1997930
SamgukSagi912	伊城縣	Iseong	127.5388542	36.04548669	0.1	2	1997931	2064499
SamgukSagi913	富利縣	Buri	127.5388542	36.04548669	0.1	2	2064500	9999999
SamgukSagi914	勿居縣	Mulgeo	127.4861718	35.91709613	0.1	2	1721424	1997930
SamgukSagi915	淸渠縣	Cheonggeo	127.4861718	35.91709613	0.1	2	1997931	9999999
SamgukSagi916	赤川縣	Jeokcheon	127.6471458	35.99413047	0.1	2	1721424	1997930
SamgukSagi917	丹川縣	Dancheon	127.6471458	35.99413047	0.1	2	1997931	2064499
SamgukSagi918	朱溪縣	Jugyegog	127.6471458	35.99413047	0.1	2	2064500	9999999
SamgukSagi919	德近郡	Deokgeun	127.0734931	36.13652726	0.1	4	1721424	1997930
SamgukSagi920	德股郡	Deokgo	127.0734931	36.13652726	0.1	4	1997931	2064499
SamgukSagi921	德恩郡	Deokeun	127.0734931	36.13652726	0.1	4	2064500	9999999
SamgukSagi922	德股縣	Deokgo	127.1115415	36.15053351	0.1	2	1721424	9999999
SamgukSagi923	加知奈縣(加乙乃縣)	Gajina	127.0500787	36.19021786	0.1	2	1721424	1997930
SamgukSagi924	市津縣	Sijin	127.0500787	36.19021786	0.1	2	1997931	9999999
SamgukSagi925	只良肖縣	Jiryangcho	127.0500787	36.05015544	0.1	2	1721424	1997930
SamgukSagi926	礪良縣	Ryeoryang	127.0500787	36.05015544	0.1	2	1997931	9999999
SamgukSagi927	只伐只縣	Jibeolji	127.2227599	36.01980858	0.1	2	1721424	1997930
SamgukSagi928	雲梯縣	Unje	127.2227599	36.01980858	0.1	2	1997931	9999999
SamgukSagi929	屎山郡(析文郡)	Sisan	126.8159348	35.99413047	0.1	4	1721424	1997930
SamgukSagi930	臨陂郡	Rimpi	126.8159348	35.99413047	0.1	4	1997931	9999999
SamgukSagi931	甘勿阿縣	Gammula	126.8773975	36.0618273	0.1	2	1721424	1997930
SamgukSagi932	咸悅縣	Hamyeol	126.8773975	36.0618273	0.1	2	1997931	9999999
SamgukSagi933	馬西良縣	Maseoryang	126.6578876	35.92409925	0.1	2	1721424	1997930
SamgukSagi934	沃溝縣	Okgu	126.6578876	35.92409925	0.1	2	1997931	9999999
SamgukSagi935	夫夫里縣	Buburi	126.7603256	35.92643363	0.1	2	1721424	1997930
SamgukSagi936	遂尾縣	Sumi	126.7603256	35.92643363	0.1	2	1997931	9999999
SamgukSagi937	碧骨縣	Byeokgol	126.871544	35.80971494	0.1	4	1721424	1997930
SamgukSagi938	金堤郡	Geumje	126.871544	35.80971494	0.1	4	1997931	9999999
SamgukSagi939	豆乃山縣	Dunaesan	126.78374	35.85640241	0.1	2	1721424	1997930
SamgukSagi940	萬頃縣	Mangyeong	126.78374	35.85640241	0.1	2	1997931	9999999
SamgukSagi941	首冬山縣	Sudongsan	126.9154459	35.85173367	0.1	2	1721424	1997930
SamgukSagi942	平皐縣	Pyeonggo	126.9154459	35.85173367	0.1	2	1997931	9999999
SamgukSagi943	乃利阿縣	Naeria	126.8861779	35.89375239	0.1	2	1721424	1997930
SamgukSagi944	利城縣	Riseong	126.8861779	35.89375239	0.1	2	1997931	9999999
SamgukSagi945	武斤村縣	Mugeunchon	126.7661792	35.81671806	0.1	2	1721424	1997930
SamgukSagi946	武邑縣	Mueup	126.7661792	35.81671806	0.1	2	1997931	2064499
SamgukSagi947	富潤縣	Buyun	126.7661792	35.81671806	0.1	2	2064500	9999999
SamgukSagi948	道實郡	Dosil	126.9915427	35.5015776	0.1	4	1721424	1997930
SamgukSagi949	淳化郡(渟化郡)	Sunhwa(Jeonghwa)	126.9915427	35.5015776	0.1	4	1997931	2064499
SamgukSagi950	淳昌縣	Sunchang	126.9915427	35.5015776	0.1	4	2064500	9999999
SamgukSagi951	礫坪縣	Ryeokpyeong	127.1847115	35.40586828	0.1	2	1721424	1997930
SamgukSagi952	磧城縣	Jeokseong	127.1847115	35.40586828	0.1	2	1997931	9999999
SamgukSagi953	蛛坪縣	Jupyeong	127.1759311	35.55993695	0.1	2	1721424	1997930
SamgukSagi954	九皐縣	Gugo	127.1759311	35.55993695	0.1	2	1997931	9999999
SamgukSagi955	金馬渚郡	Geummajeo	127.0208107	35.99646484	0.1	4	1721424	1997930
SamgukSagi956	金馬郡	Geumma	127.0208107	35.99646484	0.1	4	1997931	9999999
