key	ja-JP	longitude	latitude	texture	first_year	last_year	overall_length
YayoiDogu252	結髪土偶	141.141702	39.207818	BlueCircle	-1000	-400	6
YayoiDogu253	刺突文土偶	141.141702	39.207818	BlueCircle	-1000	-400	6
YayoiDogu254	結髪刺突文融合土偶	139.925391	39.883695	BlueCircle	0	0	6
YayoiDogu255	結髪土偶	141.449602	40.305489	BlueCircle	-900	-500	6
YayoiDogu256	土偶形容器	140.403633	40.690715	RedCircle	-500	-300	6
YayoiDogu257	分銅形土製品	132.721948	33.819454	BlueCircle	-500	-300	5.9
YayoiDogu258	台式土偶	135.59024	34.598444	BlueCircle	-1000	-900	5.9
YayoiDogu259	石偶	141.480372	40.418946	GreenCircle	-500	-300	5.9
YayoiDogu260	分銅形土製品	133.809965	34.677843	BlueCircle	0	0	5.83
YayoiDogu261	土偶	130.586849	32.984612	BlueCircle	-100	100	5.8
YayoiDogu262	土偶	140.108598	35.474756	BlueCircle	-550	-400	5.8
YayoiDogu263	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	5.8
YayoiDogu264	土偶	137.989919	36.154589	BlueCircle	-550	-400	5.79
YayoiDogu265	土偶	130.10747	33.572146	BlueCircle	-100	100	5.7
YayoiDogu266	黥面土偶	138.388352	35.840119	BlueCircle	0	0	5.7
YayoiDogu267	土偶形容器	138.489332	36.260534	RedCircle	-300	-100	5.7
YayoiDogu268	結髪刺突文融合土偶	140.404665	41.216438	BlueCircle	-200	-100	5.7
YayoiDogu269	土偶	134.037014	34.314836	BlueCircle	-100	100	5.65
YayoiDogu270	土偶	141.01091	38.729471	BlueCircle	-200	-150	5.63
YayoiDogu271	後頭部結髪土偶	137.989919	36.154589	BlueCircle	-550	-400	5.61
YayoiDogu272	土偶	134.037014	34.314836	BlueCircle	-100	100	5.6
YayoiDogu273	土偶	135.830404	34.528185	BlueCircle	-1000	-400	5.6
YayoiDogu274	プロト分銅形土製品	133.738108	34.670852	BlueCircle	-500	-300	5.6
YayoiDogu275	土偶形容器	138.642932	35.589536	RedCircle	-300	-100	5.6
YayoiDogu276	土偶形容器	137.971271	36.085043	RedCircle	-550	-400	5.6
YayoiDogu277	土偶	137.989919	36.154589	BlueCircle	-550	-400	5.6
YayoiDogu278	土偶形容器	138.093011	36.524453	RedCircle	-300	-100	5.6
YayoiDogu279	刺突文土偶	141.155167	38.900242	BlueCircle	-1000	-400	5.6
YayoiDogu280	台式土偶	141.155167	38.900242	BlueCircle	-1000	-400	5.6
YayoiDogu281	台式土偶	141.150465	39.041713	BlueCircle	-1000	-400	5.6
YayoiDogu282	土偶	141.141702	39.207818	BlueCircle	-1000	-400	5.6
YayoiDogu283	板状土偶	141.141702	39.207818	BlueCircle	-1000	-400	5.6
YayoiDogu284	結髪土偶	140.564942	40.615364	BlueCircle	-1000	-400	5.6
YayoiDogu285	刺突文土偶	140.564942	40.615364	BlueCircle	-1000	-400	5.6
YayoiDogu286	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	5.6
YayoiDogu287	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	5.6
YayoiDogu288	石偶	144.064735	44.11587	GreenCircle	-400	200	5.6
YayoiDogu289	土偶形容器	139.413936	36.14669	RedCircle	-300	-100	5.5
YayoiDogu290	土偶	138.359718	36.75732	BlueCircle	-100	100	5.5
YayoiDogu291	土偶	140.403633	40.690715	BlueCircle	-1000	-400	5.5
YayoiDogu292	土偶	133.905827	34.660673	BlueCircle	-100	100	5.4
YayoiDogu293	後頭部結髪土偶	137.412122	34.842617	BlueCircle	-1000	-400	5.4
YayoiDogu294	台式土偶	135.754863	35.003092	BlueCircle	-1000	-900	5.4
YayoiDogu295	後頭部結髪土偶	138.058011	36.072558	BlueCircle	0	0	5.4
YayoiDogu296	土偶	136.461544	36.377318	BlueCircle	-300	-100	5.4
YayoiDogu297	結髪土偶	141.01091	38.729471	BlueCircle	0	0	5.4
YayoiDogu298	台式奴凧形土偶	141.141702	39.207818	BlueCircle	-1000	-400	5.4
YayoiDogu299	土偶	135.797724	34.555036	BlueCircle	-200	-150	5.3
YayoiDogu300	台式土偶	135.620604	34.589032	BlueCircle	-1000	-900	5.3
YayoiDogu301	後頭部結髪土偶	137.989919	36.154589	BlueCircle	-550	-400	5.21
YayoiDogu302	分銅形土製品	131.540518	34.056042	BlueCircle	0	0	5.2
YayoiDogu303	分銅形土製品	133.809827	34.631901	BlueCircle	-100	100	5.2
