key	ja-JP	longitude	latitude	first_year	last_year	texture	overall_length
Kofun181	五目牛二子山古墳	139.204975	36.348998	560	600	ZKoenFunSgt	130.92
Kofun182	宮中野73号墳	140.612106	35.982233	560	600	ZKoenFunSgt	130.8
Kofun183	松尾神社古墳	139.328836	36.324351	999999	999999	ZKoenFunSgt	130.8
Kofun184	鉄砲山古墳	139.478103	36.124107	560	600	ZKoenFunSgt	130.8
Kofun185	白鳥塚古墳	137.044161	35.255435	320	360	ZKoenFunFSgt	130.8
Kofun186	川合城山古墳	135.74565	34.589115	480	520	ZKoenFunFSgt	130.8
Kofun187	松岳山古墳	135.645161	34.569962	320	360	ZKoenFun	130
Kofun188	一本松古墳	135.741275	34.561251	999999	999999	ZKoenFun	130
Kofun189	ヲカタ塚古墳	135.854559	34.554785	999999	999999	HotateFunF	130
Kofun190	生目1号墳	131.383131	31.951881	240	280	ZKoenFunF	130
Kofun191	井出二子山古墳	138.983692	36.378877	480	520	ZKoenFunFSgt3	129.6
Kofun192	玉丘古墳	134.850486	34.922272	360	380	ZKoenFunFSgt	129.6
Kofun193	茶臼原1号墳	131.4343	32.131778	420	440	ZKoenFunFSgt3	129.6
Kofun194	中二子古墳	139.195319	36.387737	520	560	ZKoenFunSgt2	129
Kofun195	牧野車塚古墳	135.668939	34.833806	380	420	ZKoenFunFSgt	129
Kofun196	赤土山古墳	135.839467	34.619609	320	360	ZKohoFunFSgt	129
Kofun197	天王山塚古墳	139.57465	36.039652	560	600	ZKoenFunSgt	128.4
Kofun198	石上大塚古墳	135.846944	34.613093	520	560	ZKoenFunFSgt2	128.4
Kofun199	岩原双子塚古墳	130.669358	32.996481	380	420	ZKoenFunFSgt3	128.4
Kofun200	手繰ヶ城山古墳	136.314964	36.093496	320	360	ZKoenFunF2	128
Kofun201	上武士天神山古墳	139.232556	36.278498	520	560	ZKoenFun	127.3
Kofun202	稲荷山古墳	139.846222	35.319768	560	590	ZKoenFunSgt	127.2
Kofun203	笹森稲荷古墳	138.923397	36.251383	560	600	ZKoenFunSgt	126.72
Kofun204	鏡塚古墳	140.570364	36.316281	360	380	ZKoenFunSgt	126.6
Kofun205	御前鬼塚古墳	140.595694	35.764631	590	620	ZKoenFunSgt	126.6
Kofun206	保渡田薬師塚古墳	138.982969	36.382998	480	520	ZKoenFunFSgt3	126
Kofun207	平塚古墳	138.938394	36.339865	480	520	ZKoenFunFSgt3	126
Kofun208	浅間神社古墳	140.06725	35.314924	280	320	ZKoenFunSgt	126
Kofun209	九条塚古墳	139.858333	35.319507	540	560	ZKoenFunFSgt	126
Kofun210	塩塚古墳	135.792897	34.702867	380	420	ZKoenFunSgt	126
Kofun211	上の山古墳	135.847294	34.552721	999999	999999	ZKoenFun	125
Kofun212	前橋二子山古墳	139.088869	36.376875	560	600	ZKoenFunFSgt	124.8
Kofun213	永山古墳	135.486939	34.568479	440	480	ZKoenFunFSgt	124.8
Kofun214	松本塚古墳	131.374656	32.102473	480	520	ZKoenFunFSgt2	124.8
Kofun215	正善寺古墳	139.481981	36.317309	560	600	ZKoenFunFSgt	123.6
Kofun216	大屋敷古墳	139.109211	36.361062	560	600	ZKoenFunFSgt	123.6
Kofun217	姉崎二子塚古墳	140.052417	35.480704	420	440	ZKoenFunSgt	123.6
Kofun218	青木亀塚古墳	139.850447	35.32566	999999	999999	ZKoenFunSgt	123.6
Kofun219	はざみ山古墳	135.602281	34.561815	420	440	ZKoenFunFSgt3	123.6
Kofun220	田主丸大塚古墳	130.711803	33.326026	999999	999999	ZKoenFunFSgt	123.6
Kofun221	下郷天神塚古墳	139.097492	36.290322	360	380	ZKoenFunFSgt	122.4
Kofun222	保渡田八幡塚古墳	138.985744	36.381223	480	520	ZKoenFunSgt3	122.4
Kofun223	飯籠塚古墳	140.050858	35.309332	280	320	ZKoenFunSgt	122.4
Kofun224	味美二子山古墳	136.936672	35.226193	520	560	ZKoenFunSgt	121.2
Kofun225	石山古墳	136.173111	34.707858	360	380	ZKoenFunF	121
