id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	ydna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable	current_costs	pottery_lineage_initial
71	iwate	岩手	16	4	20	0	0	0	hokkaido_jomon	jomon	iwate	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1	5.5/4/0.35/0.35/0.6/4/5.5/5.5	A
72	aomori	青森	16	4	20	0	0	0	hokkaido_jomon	jomon	aomori	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1	0.35/0.6/1.2/3.5/5/3.5/1.2/0.6	A
73	toraijin_land	渡来人	0	0	0	0	0	0	toraijin	toraijin	toraijin_land	0	1/1/1/1/1/1/1/1	160	3	0	255	255	1	1/1/1/1/1/1/1/1	
74	donan	道南	16	4	20	0	0	0	hokkaido_jomon	jomon	donan	2960	1/1/1/1/1/1/1/1	160	2	255	0	0	0	0.35/0.6/1.2/3.5/5/3.5/1.2/0.6	
75	dochu	道中	16	4	20	0	0	0	hokkaido_jomon	jomon	dochu	10240	1/1/1/1/1/1/1/1	160	2	255	0	0	0	0.6/1.2/3.5/4/5/1.2/0.6/0.4	
76	dohoku	道北	16	4	20	0	0	0	hokkaido_jomon	jomon	dohoku	8410	1/1/1/1/1/1/1/1	160	2	255	0	0	0	0.6/1.2/3.5/4/5/1.2/0.6/0.4	
77	doto	道東	16	4	20	0	0	0	hokkaido_jomon	jomon	doto	13620	1/1/1/1/1/1/1/1	160	2	255	0	0	0	5.5/4/0.35/0.35/0.6/4/5.5/5.5	
78	habomai	歯舞群島	16	4	20	0	0	0	hokkaido_jomon	jomon	habomai	40	1/1/1/1/1/1/1/1	160	2	255	0	0	0	5.5/4/0.35/0.35/0.6/4/5.5/5.5	
79	shikotan	色丹島	16	4	20	0	0	0	hokkaido_jomon	jomon	shikotan	110	1/1/1/1/1/1/1/1	160	2	255	0	0	0	5.5/4/0.35/0.35/0.6/4/5.5/5.5	
80	kunashir	国後島	16	4	20	0	0	0	hokkaido_jomon	jomon	kunashir	670	1/1/1/1/1/1/1/1	160	2	255	0	0	0	5.5/4/0.35/0.35/0.6/4/5.5/5.5	
