ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
（地蔵院）	34.80252533	134.7806855	204	99999999	99999999	IeSekkan	IeSekkan
（大野神社）	34.98416553	136.0303876	204	99999999	99999999	IeSekkan	IeSekkan
（金屋ミロク谷）	34.52493312	135.8540716	203	99999999	99999999	FunaSekkanRed	FunaSekkan
（光明寺）	34.93732041	135.6767608	203	99999999	99999999	FunaSekkanBrown	FunaSekkan
西谷山2号墳	36.04156091	136.2019903	203	1874462	1881767	FunaSekkanLightBlue	FunaSekkan
四十八塚5号墳	32.63640104	130.7975361	203	99999999	99999999	IeSekkanRed	IeSekkan
姫路城備前門外	34.83954146	134.693902	203	99999999	99999999	IeSekkanBrown	IeSekkan
玉造築山古墳	35.41409992	133.0115061	202	1874462	1896376	FunaSekkanYellow	FunaSekkan
（照円寺）	34.86316999	134.5180989	202	99999999	99999999	IeSekkanBrown	IeSekkan
熊本山古墳	33.32552364	130.3275813	200	1852547	1874462	FunaSekkanRed	FunaSekkan
小路古墳	32.94767713	130.5730932	200	1910986	1925596	FunaSekkanRed	FunaSekkan
天御子山	33.00660628	130.6066541	200	1874462	1896376	FunaSekkanRed	FunaSekkan
天御子山	33.00660628	130.6066541	200	1874462	1896376	FunaSekkanRed	FunaSekkan
浦大間	32.97632732	130.7041979	200	1874462	1896376	FunaSekkanRed	FunaSekkan
津袋大塚古墳	33.01308931	130.753129	200	1852547	1859852	FunaSekkanRed	FunaSekkan
鉢ノ窪	33.01318882	131.5873403	200	1874462	1896376	FunaSekkanRed	FunaSekkan
青木原古墳	35.41409992	133.0115061	200	1874462	1896376	FunaSekkan	FunaSekkan
浦尻5号墳	37.51738199	141.0250503	200	1925596	1947510	FunaSekkan	FunaSekkan
松岳山古墳	34.569962	135.645161	200	1837938	1852547	NagaSekkan	NagaSekkan
浦山古墳	33.284916	130.535722	200	1881767	1896376	IeSekkanRed	IeSekkan
王塚古墳	33.588782	130.663778	200	1910986	1925596	IeSekkan	IeSekkan
