key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_year	last_year	texture	所在地	種別	時代	立地	標高	出土遺物
HokkaidoSite808	明和1遺跡		142.4197284	42.45711697	0	0.5	-5000	-3500	BlueCircle	新冠町字明和32-4	遺物包含地	縄文(前期)	新冠川左岸段丘、湧水点周辺	90 m	土器、石鏃・石冠
HokkaidoSite809	第2共栄遺跡		142.3044154	42.44544645	0	0.5	650	1300	BlueCircle	新冠町字共栄244～246,277,278-1	遺物包含地	擦文	受乞川右岸段丘	35m	土師器、骨片
HokkaidoSite810	古岸5遺跡		142.4029035	42.44300175	0	0.5	-3500	-2000	BlueCircle	新冠町字古岸153-1･4	遺物包含地	縄文(中期)	新冠川右岸段丘、支流左岸	70 m	土器、石槍・掻器・石斧・石匙
HokkaidoSite811	古岸6遺跡		142.4063301	42.43948845	0	0.5	-8000	-5000	BlueCircle	新冠町字古岸132-1･5,149-1,151-1	遺物包含地	縄文(早期)	新冠川右岸段丘	50 m	土器、剥片
HokkaidoSite812	古岸3遺跡		142.3884418	42.41809341	0	0.5	-5000	-3500	BlueCircle	新冠町字古岸15-1,字緑丘19-2,63-1～3・9	遺物包含地	縄文(前期)	新冠川右岸段丘	70 m	土器、石鏃・石匙、玉
HokkaidoSite813	緑丘1遺跡		142.3828301	42.40057072	0	0.5	-1000	-300	BlueCircle	新冠町字緑丘1-3･4,128-1･2,129-1	遺物包含地	縄文(晩期)	新冠川右岸段丘	30 m	土器、剥片
HokkaidoSite814	テング山遺跡		142.290931	42.38054899	0	0.5	-5000	-3500	BlueCircle	新冠町字節婦71-2･3･8･9	遺物包含地	縄文(前期)	海岸段丘、頂部付近	100 m	土器、石冠
HokkaidoSite815	育成センター裏遺跡		142.2951289	42.37618598	0	0.5	-5000	-3500	BlueCircle	新冠町字節婦71-2･4･8,230	遺物包含地	縄文(前期)	海岸段丘頂部一帯	100 m	
HokkaidoSite816	高江遺跡		142.3055832	42.36558773	0	0.5	650	1300	BlueCircle	新冠町字高江489-6	遺物包含地	擦文	新冠川右岸段丘	20 m	土器
HokkaidoSite817	高江遺跡		142.2997261	42.36288831	0	0.5	-300	700	BlueCircle	新冠町字高江19	遺物包含地	続縄文	海岸砂丘	5 m	土器
HokkaidoSite818	氷川神社横遺跡		142.3212993	42.35520769	0	0.5	650	1300	BlueCircle	新冠町字西泊津1-1,3-1,6-1	遺物包含地	擦文	浦里川左岸段丘	20 m	土師器、須恵器
HokkaidoSite819	田原10遺跡		142.4288865	42.38286966	0	0.5	-8000	-5000	BlueCircle	新ひだか町静内田原856,857,858	遺物包含地	縄文(早期)	河岸段丘(低位段丘面)	5～10 m	土器、石器
HokkaidoSite820	目名3遺跡		142.3964202	42.36545382	0	0.5	-8000	-5000	BlueCircle	新ひだか町静内目名432-1･2,438-3･4	遺物包含地	縄文(早期)	河岸段丘(御園面)	20～30 m	土器、石器
HokkaidoSite821	駒場13遺跡		142.3615227	42.35507467	0	0.5	-5000	-3500	BlueCircle	新ひだか町静内花園47-1～3	遺物包含地	縄文(前期)	段丘(小沢の右岸)	30m	土器
HokkaidoSite822	美野和1遺跡		142.642087	42.24353118	0	0.5	-5000	-3500	BlueCircle	新ひだか町三石美野和149,150-1	遺物包含地	縄文(前期)	河岸段丘	15～20 m	土器、石鏃、石錐、石匙
HokkaidoSite823	上杵臼小学校台地遺跡		142.9625598	42.2325108	0	0.5	-8000	-5000	BlueCircle	浦河町字上杵臼964-1･2	遺物包含地	縄文(早期)	河岸段丘	120 m	土器、石鏃・石錐・スクレイパー・石斧
HokkaidoSite824	西舎7遺跡		142.8537862	42.2058619	0	0.5	-8000	-5000	PitHouse	浦河町字西舎535-13･14	集落跡	縄文(早期)	日高幌別川右岸段丘上	42～44 m	土器、石鏃・石槍・石錐・石匙・削器・掻器・石斧・すり石・砥石・石皿
HokkaidoSite825	西舎10遺跡		142.8524292	42.19836519	0	0.5	-8000	-5000	PitHouse	浦河町字西舎141-33	集落跡	縄文(早期)	日高幌別川右岸段丘上	33～35 m	土器、剥片・砕片
HokkaidoSite826	知利別遺跡		141.0227397	42.35395984	0	0.5	-3500	-2000	BlueCircle	室蘭市宮の森町1丁目1-2･4	遺物包含地	縄文(中期)	中島神社の隣接住宅地の台地		土器、石鏃、石槍、石小刀
HokkaidoSite827	豊木川3遺跡		141.5379994	42.64941621	0	0.5	-2000	-1000	BlueCircle	苫小牧市字糸井292-9～12･16･21	遺物包含地	縄文(後期)	豊木川左岸の丘陵部、西側舌状部	40 m	土器、石器、削片、礫
HokkaidoSite828	静川32遺跡		141.8067259	42.64259076	0	0.5	-1000	-300	BlueCircle	苫小牧市字静川18-2	遺物包含地	縄文(晩期)	沢に面した台地の先端部	18m	石器
HokkaidoSite829	静川31遺跡		141.8078838	42.64108596	0	0.5	-1000	-300	BlueCircle	苫小牧市字静川18-2	溝穴遺構	縄文(晩期)	西向き舌状台地		土器、石器
HokkaidoSite830	厚真1遺跡		141.8180043	42.63491184	0	0.5	-3500	-2000	PitHouse	厚真町字共和124-1	集落跡	縄文(中期)	静川台地を大きく開析する沖積地奥部右岸の舌状台地上基部	16 m	土器、土製品、石器・剥片、礫
HokkaidoSite831	千歳7遺跡		141.1178806	42.42694289	0	0.5	-3500	-2000	BlueCircle	登別市千歳町93-1・3,98,155-1,158-1・2	遺物包含地	縄文(中期)	丘陵裾部(河岸段丘?)	10 m	土器、石器
HokkaidoSite832	千歳6遺跡		141.1184992	42.42345168	0	0.5	-3500	-2000	PitHouse	登別市千歳町97-1・6・7	集落跡	縄文(中期)	丘陵に附随した河岸段丘上	10～18 m	土器、石斧
HokkaidoSite833	片倉遺跡		141.0845062	42.42142749	0	0.5	-3500	-2000	BlueCircle	登別市片倉町2丁目30-2,31,32,35-1	遺物包含地	縄文(中期)	幌別川左岸の河岸段丘上	20 m	
HokkaidoSite834	富岸小学校遺跡		141.0651987	42.38905878	0	0.5	-3500	-2000	BlueCircle	登別市富岸町3丁目45･46･48	遺物包含地	縄文(中期)	富岸川右岸河岸段丘	20 m	
HokkaidoSite835	鷲別2遺跡		141.0436193	42.36602509	0	0.5	-3500	-2000	BlueCircle	登別市美園町5丁目26-1･2	遺物包含地	縄文(中期)	鷲別川左岸の河岸段丘	10～20 m	土器
HokkaidoSite836	ポロト遺跡		141.3679119	42.56001003	0	0.5	-3500	-2000	BlueCircle	白老町白老事業区297林班、若草町2丁目3	遺物包含地	縄文(中期)	ポロト湖岸台地先端～砂丘	8～20 m	土器、石斧、縦型石匙
HokkaidoSite837	虎杖浜12遺跡		141.2104048	42.46291298	0	0.5	-3500	-2000	BlueCircle	白老町字虎杖浜412-1	遺物包含地	縄文(中期)	倶多楽火山より続く火山灰台地の裾野に形成された砂丘上	10～20 m	土器、たたき石
HokkaidoSite838	虎杖浜13遺跡		141.1916109	42.45796101	0	0.5	-5000	-3500	BlueCircle	白老町字虎杖浜330-2･5,370,381-2	遺物包含地	縄文(前期)	開析の進んだ海岸の段丘(火砕流台地?)南西に旧登別湾を望む。	50 m	土器・剥片石器・石斧・砥石・たたき石
HokkaidoSite839	アヨロ川傍遺跡		141.2058553	42.45522531	0	0.5	-300	200	BlueCircle	白老町字虎杖浜282,284,287,321-6･29･30･36～38･57	遺物包含地	続縄文(前半期)	アヨロ川河口付近右岸の段丘上	10～30 m	土器
HokkaidoSite840	ポンアヨロ遺跡		141.1951029	42.45405874	0	0.5	-5000	-3500	BlueCircle	白老町字虎杖浜314-1	遺物包含地	縄文(前期)	ポンアヨロ川左岸台地	40 m	土器、石鏃、石斧
HokkaidoSite841	虎杖浜1遺跡		141.1959763	42.45233586	0	0.5	-8000	-5000	PitHouse	白老町字虎杖浜311,500-1･3	集落跡	縄文(早期)	ポンアヨロ川右岸台地	35 m	土器、石器
HokkaidoSite842	鯉沼2遺跡		141.9153119	42.6464111	0	0.5	-8000	-5000	BlueCircle	厚真町字鯉沼159-1,161-1	溝穴遺構	縄文(早期)	火山灰台地を開析した涸沢の沢頭付近	30 m	土器、剥片･礫
HokkaidoSite843	鹿沼5遺跡		141.8861336	42.63181568	0	0.5	-2000	-1000	BlueCircle	厚真町字鹿沼334-8･29	遺物包含地	縄文(後期)	旧沼地に張り出した舌状台地上	15 m	土器、たたき石
HokkaidoSite844	厚和7遺跡		141.8604564	42.62742484	0	0.5	-2000	-1000	PitHouse	厚真町字厚和97-3	集落跡	縄文(後期)	開析の進んだ火山灰台地	14 m	土器、礫石器
HokkaidoSite845	入鹿沼遺跡		141.92227	42.62113208	0	0.5	-3500	-2000	BlueCircle	厚真町字鹿沼217-1	溝穴遺構	縄文(中期)	入鹿別沼北東岸。南側へ張出した台地先端裾際。南西向きの緩斜面	33 m	土器、礫石器･礫
HokkaidoSite846	米原5遺跡		141.9820427	42.55106802	0	0.5	-8000	-5000	BlueCircle	むかわ町米原704,705-3,汐見616	溝穴遺構	縄文(早期)	丘陵緩斜面(イモッペ川左岸、チン川右岸)	40～50 m	土器、石器、石斧原材
HokkaidoSite847	汐見遺跡		141.9698525	42.54415282	0	0.5	-3500	-2000	BlueCircle	むかわ町汐見278-1,280-1・2,281-1～13,284-1,286-3・5,782	遺物包含地	縄文(中期)	海岸段丘を開析する沢の湧水点周辺	30 m	土器、石鏃、ナイフ、石斧、石斧片、石斧素材、石錘、剥片
