key	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
mtDNA_Siberia141	37.1907	61.0343	U7a	216443	925013	0	1000
mtDNA_Siberia142	37.1907	61.0343	HV12b1	216443	925013	0	1000
mtDNA_Siberia143	37.1907	61.0343	T2d2	278461	966359	0	1000
mtDNA_Siberia144	36.1544444	54.3836111	I1	27978	799370	0	1000
mtDNA_Siberia145	37.6666667	67	W1	215785	924575	0	1000
mtDNA_Siberia146	36.9944	45.4744	K1a3	-1014059	104679	0	1000
mtDNA_Siberia147	36.9944	45.4744	U1a4	-947439	149092	0	1000
mtDNA_Siberia148	30.649857	61.400311	W6	347930	1012672	0	1000
mtDNA_Siberia149	37.6666667	67	HV	961538	1421743	0	1000
mtDNA_Siberia150	38.1907	62.0343	U7a2	669636	1227142	0	1000
mtDNA_Siberia151	30.649857	61.400311	R5a2b	435588	1071110	0	1000
mtDNA_Siberia152	30.649857	61.400311	R7	479418	1100330	0	1000
mtDNA_Siberia153	37.4166667	66.8333333	J1b1b1	786659	1305158	0	1000
mtDNA_Siberia154	37.6666667	67	T1	961538	1421743	0	1000
mtDNA_Siberia155	30.649857	61.400311	J1	306073	984767	0	1000
mtDNA_Siberia156	30.649857	61.400311	I1	326016	998062	0	1000
mtDNA_Siberia157	37.4166667	66.8333333	HV20	743926	1276669	0	1000
mtDNA_Siberia158	37.6666667	67	T2c	899519	1380398	0	1000
mtDNA_Siberia159	37.6666667	67	R0	961538	1421743	0	1000
mtDNA_Siberia160	30.649857	61.400311	U2c1	260272	954233	0	1000
mtDNA_Siberia161	30.649857	61.400311	U1a1c1d	479418	1100330	0	1000
mtDNA_Siberia162	41.431467	75.885481	HV14	711273	1254900	0	1000
mtDNA_Siberia163	38.1907	62.0343	U7a	610905	1187988	0	1000
mtDNA_Siberia164	48.2144	67.0205	C4a'b'c	939623	1407133	0	1000
mtDNA_Siberia165	36.280247	72.414702	J1b1	1950980	2081371	0	1000
mtDNA_Siberia166	34.7614056	72.3700806	M30	1550382	1814306	0	1000
mtDNA_Siberia167	34.7614056	72.3700806	U2a	1600566	1847762	0	1000
mtDNA_Siberia168	34.7570056	72.3623806	M49	2181301	2234919	0	1000
mtDNA_Siberia169	34.7487639	72.3083583	H13a2a	2127173	2198833	0	1000
mtDNA_Siberia170	34.7658417	72.3491333	U7b	1202598	1582450	0	1000
mtDNA_Siberia171	34.7658417	72.3491333	N1a1b1	1202598	1582450	0	1000
mtDNA_Siberia172	34.7658417	72.3491333	U4d	1219910	1593992	0	1000
mtDNA_Siberia173	34.75938611	72.37083333	HV13b	1202598	1582450	0	1000
mtDNA_Siberia174	34.7514611	72.4019361	H14	1202598	1582450	0	1000
mtDNA_Siberia175	36.1544444	54.3836111	W3b	388691	1039846	0	1000
mtDNA_Siberia176	30.649857	61.400311	M33a2a	327988	999377	0	1000
mtDNA_Siberia177	37.6666667	67	K1a1	813176	1322835	0	1000
mtDNA_Siberia178	37.4166667	66.8333333	U7a3a	822599	1329118	0	1000
