ja-JP	ko-KR	en-US	longitude	latitude	min_size	max_size
ピラウンペッ	비라운벧	Pira-Un-Pet	143.4261111	43.17416667	1	4
ピリカアンペ	빌가안베	Pirka-An-Pe	143.4966667	43.21861111	1	4
ピッオロ	빋오로	Pit-Oro	139.8177778	42.38	1	4
ピウカ	비우가	Piwka	142.3483333	44.47361111	1	4
ポペッ	보벧	Po-Pet	142.1358333	42.76166667	1	4
ポクオイ	복오이	Pok-O-I	140.9952778	42.31111111	1	4
ポキンピリ	보긴빌	Pokin-Pir	141.3927778	43.47861111	1	4
ポンイオイ	본이오이	Pon-I-O-I	145.5447222	43.31305556	1	4
ポンイオプ	본이옵	Pon-I-O-P	142.9072222	42.96027778	1	4
ポンケリマプ	본게리맙	Pon-Kerimap	142.6327778	42.24944444	1	4
ポンキキン	본기긴	Pon-Kikin	143.9897222	43.65083333	1	4
ポンクンペッ	본군벧?	Pon-Kun-Pet?	141.3675	43.62416667	1	4
ポンペッ	본벧	Pon-Pet	140.8091667	42.05111111	1	4
ポンペッ	본벧	Pon-Pet	141.9541667	43.26416667	1	4
ポンペッ	본벧	Pon-Pet	144.7569444	43.46277778	1	4
ポンポロト	본보로도	Pon-Poroto	145.1633333	43.15027778	1	4
ポントマリ	본도마리	Pon-Tomari	144.6144444	42.95194444	1	4
ポロトトコ	보로(도도고)?	Poro-(Totoko)?	141.7002778	44.06722222	1	4
ポロハックッ	보로핟굳	Poro-Hatkut	142.3330556	42.37222222	1	4
ポロクンべツ	보로군벧	Poro-Kunpet	141.3536111	43.64972222	1	4
ポロモシリ	보로모실	Poro-Mosir	145.5230556	43.29694444	1	4
ポロモイ	보로뫼	Poro-Moy	141.6502778	43.15777778	1	4
ポロモイ	보로뫼	Poro-Moy	140.5047222	43.35777778	1	4
ポロナイ	보로내	Poro-Nay	141.8966667	43.22805556	1	4
ポロナイ	보로내	Poro-Nay	142.1016667	43.84944444	1	4
ポロナイ	보로내	Poro-Nay	142.8780556	44.65722222	1	4
ポロナイ	보로내	Poro-Nay	144.5486111	42.94888889	1	4
ポロナイ	보로내	Poro-Nay	140.6147222	42.98472222	1	4
ポロノッ	보로녿	Poro-Not	145.5825	43.33527778	1	4
ポロヌプカペッ	보로눕가벧	Poro-Nupka-Pet	141.7611111	43.85305556	1	4
ポロヌタプ	보로누답	Poro-Nutap	141.8522222	45.02	1	4
ポロオマンペッ	보로오만벧	Poro-Oman-Pet	143.0352778	42.07666667	1	4
ポロペッ	보로벧	Poro-Pet	141.1091667	42.40972222	1	4
ポロピナイ	보로비내	Poro-Pi-Nay	141.3105556	42.78027778	1	4
ポロト	보로도	Poro-To	140.6738889	41.98166667	1	4
ポロト	보로도	Poro-To	145.1419444	43.1475	1	4
プシプトゥ	붓부두	Pus-Putu	140.1455556	41.91666667	1	4
プイオスマ	븨오수마	Puy-O-Suma	142.9855556	42.10111111	1	4
プイオマプ	븨오맙	Puy-Oma-P	143.1027778	42.04638889	1	4
ランオマナイシ	란옷마내	Ran-Osma-Nay	140.8544444	43.19722222	1	4
ランポク	란복	Ran-Pok	140.6538889	41.92583333	1	4
ラニ	라니	Rani	143.7325	43.325	1	4
ランコウシイ	란고웃이	Ranko-Us-I	141.5894444	42.81027778	1	4
ランコウシイ	란고웃이	Ranko-Us-I	140.5277778	42.80555556	1	4
ラウネナイ	라우네내	Rawne-Nay	142.5877778	43.62166667	1	4
ライパ	래바	Ray-Pa	141.1	42.45583333	1	4
レサクペッ	레삭벧	Re-Sak-Pet	143.445	42.81666667	1	4
レプンケプ	레분겝	Repun-Ke-P	140.5936111	42.58027778	1	4
レプンシララ	레분시랄	Repun-Sirar	145.1897222	44.015	1	16
レレコオマペッ	렐고오마벧	Rerko-Oma-Pet	140.9880556	42.61166667	1	4
レタラピラ	레달비라	Retar-Pira	140.7355556	43.23083333	1	4
レウケプ	레우겝	Rewke-P	141.6111111	43.90527778	1	4
リキピリ	리기빌	Ri-Kipir	141.6575	44.22916667	1	4
リクンペッ	리군벧	Ri-Kun-Pet	143.7436111	43.4675	1	4
リヤムナイ	리얌내	Riyam-Nay	140.5319444	42.98555556	1	4
ルオサンイ	루오산이	Ru-O-San-I	140.9222222	42.8025	1	4
ルペペシ	루벳베	Ru-Pes-Pe	143.6152778	43.78861111	1	4
ルペペッシ	루벳벧	Ru-Pes-Pet	143.3238889	42.20027778	1	4
ルスッ	루숟	Ru-Sut	140.8761111	42.73777778	1	4
ルチポシク	루짓복	Rucis-Pok	141.8061111	43.85055556	1	4
ルルモオッペ	룰모옫베	Rur-Mo-Ot-Pe	141.6455556	43.95944444	1	4
サオロオペッ	사올오벧	Sa-Or-O-Pet	142.8633333	43.09444444	1	4
サタイペッ	사대벧	Sa-Tay-Pet	141.4166667	42.57805556	1	4
サクコタンナイ	삭고단내	Sak-Kotan-Nay	142.0502778	44.74722222	1	4
サクペッ	삭벧	Sak-Pet	143.9169444	42.87666667	1	4
サクル	삭루	Sak-Ru	143.0727778	44.19472222	1	4
サクル	삭루	Sak-Ru	142.2644444	44.69055556	1	4
サクシルペペ	삭루벳베	Sak-Rupespe	141.8180556	42.76277778	1	4
サキペモイ	사기베뫼	Sakipe-Moy	145.0822222	43.8225	1	4
サモオマイ	사모오마이	Samo-Oma-I	143.4630556	42.98472222	1	4
サンナイ	산내	San-Nay	140.3483333	43.19694444	1	4
サンナイ	산내	San-Nay	141.9297222	45.50444444	1	4
サンナイプトゥ	산내부두	San-Nay-Putu	143.4377778	44.07166667	1	4
サラ	살	Sar	144.6591667	43.8725	1	4
サラオペッ	살오벧	Sar-O-Pet	141.7775	45.09666667	1	4
サラオマペッ	살오마벧	Sar-Oma-Pet	141.7458333	45.19583333	1	4
サラロオ	살올	Sar-Or	143.2261111	44.4325	1	4
サル・パ	살바	Sar-Pa	142.0869444	42.56194444	1	4
サラペッ	살벧	Sar-Pet	143.1855556	42.6525	1	4
サペッラ	살벧	Sar-Pet	143.3383333	42.90083333	1	4
サラプッ	살붇	Sar-Put	142.1933333	45.26527778	1	4
サラシルペペ	살루벳베	Sar-Rupespe	142.6836111	44.40888889	1	4
サラムトオマナイ	살돔오마내	Sar-Tom-Oma-Nay	144.4058333	43.52916667	1	4
サラ	사라	Sara	140.6638889	42.12666667	1	4
サラシキウイ	살기웃이	Sarki-Us-I	144.7580556	42.93361111	1	4
サラキプ	살깁	Sarkip	143.0619444	44.51777778	1	4
サシウシイ	삿웃이	Sas-Us-I	144.0994444	42.95722222	1	4
サッフミイ	삳후미이	Sat-Humi-I	143.5588889	44.18222222	1	4
サックマ	삳구마	Sat-Kuma	141.5683333	43.86722222	1	4
サッナイ	삳내	Sat-Nay	143.2547222	42.91222222	1	4
サッナイ	삳내	Sat-Nay	140.0280556	41.46361111	1	4
サッピナイ	삳비내	Sat-Pi-Nay	141.7438889	43.37027778	1	4
サッル	삳루	Sat-Ru	144.5325	43.785	1	4
サッテクナイ	삳덱내	Sattek-Nay	141.7691667	43.43444444	1	4
センピリ	센빌	Senpir	143.6488889	43.22444444	1	4
セプ	셉	Sep	142.2761111	42.38166667	1	4
セセクイ	세섹이	Sesek-I	145.3077778	44.17388889	1	4
セッチリ	섿질	Set-Cir	144.3313889	43.22805556	1	4
セッウシイ	섿웃이	Set-Us-I	143.4208333	44.01027778	1	4
セタナイ	세다내	Seta-Nay	139.8513889	42.45277778	1	4
セイオイ	세오이	Sey-O-I	143.5252778	42.76055556	1	4
シフチナイ	시후지내	Si-Huci-Nay	142.365	42.34027778	1	4
シカリペッ	시가리벧	Si-Kari-Pet	140.7363889	43.12583333	1	4
シカリペッ	시가리벧	Si-Kari-Pet	143.0830556	43.05305556	1	4
シムカプ	시무갑	Si-Mukap	142.4061111	43.00055556	1	4
シペッ	시벧	Si-Pet	145.1188889	43.65666667	1	4
シペッチャ	시벧자	Si-Pet-Ca	144.5922222	43.46333333	1	4
シリペッ	시리벧	Si-Ri-Pet	140.9433333	42.77972222	1	4
シユペッ	시유벧	Si-Yupet	143.1572222	43.85194444	1	4
シケペ	시게베	Sike-Pe	140.8208333	42.03333333	1	4
シクトゥル	시구둘	Sikutur	141.0122222	43.23	1	4
シクトゥル	시구둘	Sikutur	140.9486111	42.34055556	1	4
シクトゥルシウナイ	시구둘웃내	Sikutur-Us-Nay	144.5047222	42.94722222	1	4
シノオロオ	시노올오	Sino-Or-O	141.3627778	43.16527778	1	4
シンプイ	신븨	Sinpuy	140.5063889	43.045	1	4
シペナイ	시베내	Sipe-Nay	142.5816667	43.645	1	4
シリクエト	실에독	Sir-Etok	141.0347222	45.27527778	1	7
シリエトゥ	실에두	Sir-Etu	144.3702778	42.97138889	1	4
シリノッ	실녿	Sir-Not	141.6491667	43.22555556	1	4
リシスッ	실숟	Sir-Sut	145.1222222	43.13361111	1	4
シリトゥカリ	실두가리	Sir-Tukari	140.465	42.58583333	1	4
シララウエト	시랄에두	Sirar-Etu	140.8777778	41.75333333	1	4
シライカラ	시랄이가	Sirar-Ika	144.0875	42.96388889	1	4
シララオイ	시라라오이	Sirara-O-I	141.3158333	42.5825	1	4
シタカラ	시다가라?	Sita-Kara?	144.1136111	43.11777778	1	4
シットク	싣독	Sittok	142.8169444	43.08444444	1	4
シットゥネイ	시뚜네?	Sittuney?	143.6991667	42.78888889	1	4
ソエサンペッ	소에산벧	So-E-San-Pet	141.7669444	44.53305556	1	4
ソコッ	소곧	So-Kot	143.3130556	44.37194444	1	4
ソナイ	소내	So-Nay	142.4697222	45.06916667	1	4
ソペッ	소벧	So-Pet	140.8622222	42.55611111	1	4
ソラプチ	소랍지	So-Rapci	141.9094444	43.54888889	1	4
ソウシナイ	소웃내	So-Us-Nay	142.1377778	44.21027778	1	4
ソウシペッ	소웃벧	So-Us-Pet	142.5191667	42.96083333	1	4
ソヤ	소야	So-Ya	143.2919444	42.04111111	1	4
ソヤ	소야	So-Ya	141.8808333	45.48638889	1	4
スヤ	수야	Su-Ya	140.9269444	43.20944444	1	4
スムペッ	숨벧	Sum-Pet	144.9188889	43.43666667	1	4
スムウンコッ	숨운곧	Sum-Un-Kot	142.0769444	42.5575	1	4
スマオコタン	수마오고단	Suma-O-Kotan	140.3463889	42.85638889	1	4
スマオマプ	수마오맙	Suma-Oma-P	141.5777778	42.91944444	1	4
スマオタ	수마오다	Suma-Ota	139.8444444	42.51611111	1	4
スマトゥカリペッ	수마두가리벧	Suma-Tukari-Pet	144.7511111	43.90472222	1	4
スマリナイ	수마리내	Sumari-Nay	142.1619444	44.28111111	1	4
スンクニタイ	순구니대	Sunku-Nitay	145.4308333	43.28277778	1	4
ス(キ)サプラ	숩(기)살	Sup(Ki)-Sar	142.9847222	42.87972222	1	4
スキナイプ	숩기내	Supki-Nay	139.9327778	42.13472222	1	4
スポロ	수보로	Suporo	143.24	43.16111111	1	4
スプンオッナイ	수분옫내	Supun-Ot-Nay	143.4830556	44.20055556	1	4
スプンペッ	수분벧	Supun-Pet	141.7497222	43.16055556	1	4
ススウンナイ	수수운내	Susu-Un-Nay	141.8380556	43.60472222	1	4
ススウシナイ	수수웃내	Susu-Us-Nay	143.9991667	43.88222222	1	4
タンネモイ	단네뫼	Tanne-Moy	140.3072222	42.80222222	1	4
タオロシケ	다올겟	Taor-Kes	140.2522222	42.76444444	1	4
タコププ	답곱	Tapkop	144.4891667	43.10916667	1	4
タププコ	답곱	Tapkop	141.8330556	43.25	1	4
タププコライ	답곱래	Tapkop-Ray	143.5888889	42.72638889	1	4
タッウナイシ	닫웃내	Tat-Us-Nay	142.0238889	43.80916667	1	4
タイオロオマペッ	대오로오마벧	Tay-Oro-Oma-Pet	142.395	44.24222222	1	4
タイキウシイ	대기웃이	Tayki-Us-I	143.2672222	42.50222222	1	4
テムンヤム	뎀문야	Temmun-Ya	141.0077778	43.21277778	1	4
テレシケウイ	델게웃이	Terke-Us-I	140.4883333	43.07333333	1	4
テシカカ	뎃가가	Tes-Ka-Ka	144.4902778	43.52611111	1	4
テペッシ	뎃벧	Tes-Pet	144.1402778	43.20361111	1	4
テシウンイ	뎃운이	Tes-Un-I	141.7455556	44.87638889	1	4
テイネイ	데네이	Teyne-I	143.6222222	44.21722222	1	4
テイネニタッ	데네니닫	Teyne-Nitat	141.2391667	43.11805556	1	4
テイネル	데네루	Teyne-Ru	144.4413889	43.01388889	1	4
トアサム	도아삼	To-Asam	141.7705556	42.72805556	1	4
トホロ	도호로	To-Horo	144.9158333	43.51222222	1	4
トイシカラ	도이시가라	To-Isikara	141.5261111	43.11861111	1	4
トコロペッ	도골벧	To-Kor-Pet	144.0708333	44.12111111	1	4
トコタン	도고단	To-Kotan	144.8691667	42.99972222	1	4
トオロ	도올	To-Or	144.4969444	43.14916667	1	4
トパイェ	도바예	To-Paye	145.4761111	43.27	1	4
トペッ	도벧	To-Pet	141.4766667	43.21833333	1	4
トペッ	도벧	To-Pet	143.2330556	42.86333333	1	4
トプッ	도붇	To-Put	143.5013889	42.86916667	1	4
トウンペッ	도운벧	To-Un-Pet	140.58	41.7375	1	4
トウンペッ	도운벧	To-Un-Pet	142.3941667	45.13055556	1	4
トヤ	도야	To-Ya	140.8338889	42.64888889	1	16
トヤ	도야	To-Ya	144.4555556	43.0475	1	4
トイマキ	되마기?	Toimaki?	142.535	45.00194444	1	4
トッコ(ニ)コタン	도꼬(니)고단	Tokko(Ni)-Kotan	141.3544444	43.66944444	1	4
トコムロオ	도곰올	Tokom-Or	143.67	42.86888889	1	4
トマオマイ	도마오마이	Toma-Oma-I	141.6538889	44.30972222	1	4
トマタオロ	도마다오로	Toma-Ta-Oro	144.7652778	43.04083333	1	4
トマム	도맘	Tomam	142.6130556	43.04944444	1	4
トマム	도맘	Tomam	143.7313889	43.46694444	1	4
トマムペッ	도맘벧	Tomam-Pet	143.1483333	42.01638889	1	16
トマリ	도마리	Tomari	140.0611111	42.69972222	1	4
トマリ	도마리	Tomari	140.1388889	41.89138889	1	4
トプシウペッ	돕웃벧	Top-Us-Pet	142.6497222	44.83777778	1	4
トイカムペッ	되가무벧	Toy-Kamu-Pet	142.0225	44.91583333	1	4
トイカムペッ	되가무벧	Toy-Kamu-Pet	142.3988889	45.08138889	1	4
トイオイ	되오이	Toy-O-I	143.3033333	42.39444444	1	4
トイペッ	되벧	Toy-Pet	142.5563889	42.32388889	1	4
トゥコタン	두고단	Tu-Kotan	145.2563889	43.46833333	1	4
トゥパナ	두바나	Tu-Pana	140.1216667	41.865	1	4
トゥカライソ	두갈이소	Tukar-Iso	141.0116667	43.21833333	1	4
トゥムリシシウイ	둠실웃이	Tum-Sir-Us-I	145.6713889	43.31777778	1	4
トゥウシプ	둡우시	Tup-Usi	143.8069444	44.09111111	1	4
トゥリトゥイェウシイ	두리두예웃이	Turi-Tuye-Us-I	144.4652778	43.05944444	1	4
トゥペッシ	둣벧	Tus-Pet	143.4319444	42.92861111	1	4
トゥワラ	두왈	Tuwar	142.7069444	44.11555556	1	4
トゥイピラ	듸비라	Tuy-Pira	141.38	43.03138889	1	4
トゥイマチヌプ	듸마지눕	Tuyma-Ci-Nu-P	144.6	42.95027778	1	4
ウパクペッ	우박벧	U-Pak-Pet	142.5588889	43.59861111	1	4
ウパラライ	우발래	U-Par-Ray	144.1116667	44.01388889	1	4
ウフイ	우희	Uhuy	141.3380556	43.73722222	1	4
ウカウシララ	우가우시랄	Ukaw-Sirar	140.8197222	41.76611111	1	4
ウコイキウシイ	우괴기웃이	Ukoyki-Us-I	145.1558333	43.3425	1	4
ウパサマペシム	우밧사맘베	Upas-Samampe	140.3791667	42.51416667	1	4
ウプン	우분	Upun	142.3447222	43.74277778	1	4
ウララ	우랄	Urar	142.4216667	42.31722222	1	4
ウライウシペッ	우래웃벧	Uray-Us-Pet	144.41	43.88833333	1	4
ウリマク	우리막	Uri-Mak	143.0247222	43.16638889	1	4
ウシオロ	웃올	Us-Or	140.7913889	42.51472222	1	4
ウオシロ	웃올	Us-Or	140.8647222	43.20777778	1	4
ウシトマリ	웃도마리	Us-Tomari	141.2236111	45.245	1	4
ウシシペッ	우싯벧	Usis-Pet	143.52	42.79055556	1	4
ウッ	욷	Ut	143.1983333	44.31388889	1	4
ウッ	욷	Ut	143.0277778	44.42305556	1	4
ウッナイ	욷내	Ut-Nay	142.0580556	44.8675	1	4
ウッナイ	욷내	Ut-Nay	143.6247222	42.72138889	1	4
ウッチナイ	욷지내	Utci-Nay	141.5083333	42.94416667	1	4
ウトマペッウム	우두맘벧	Utumam-Pet	142.8738889	42.13388889	1	4
ウトウシルチクイ	우두루지굿이	Uturu-Ci-Kus-I	144.9966667	44.07	1	4
ウワッテペッ	우와떼벧	Uwatte-Pet	144.0458333	42.94805556	1	4
ワネウシイ	와?네웃이	Wa?-Ne-Us-I	141.0097222	42.33388889	1	4
ワッカチャラセ	와까잘세	Wakka-Carse	144.7013889	42.9375	1	4
ワッカオイ	와까오이	Wakka-O-I	140.82	42.49638889	1	4
ワッカサナイク	와까삭내	Wakka-Sak-Nay	141.63	45.10694444	1	4
ワルンペフル	와룬베훌	Warunpe-Hur	140.3352778	42.61861111	1	4
ウェンホロカペッ	웬홀가벧	Wen-Horka-Pet	142.0483333	43.01222222	1	4
ウェンナイ	웬내	Wen-Nay	141.7166667	42.72638889	1	4
ウェンナイ	웬내	Wen-Nay	142.1933333	44.00583333	1	4
ウェンペッ	웬벧	Wen-Pet	142.1444444	44.07555556	1	4
ウェンピラ	웬비라	Wen-Pira	141.6555556	44.26277778	1	4
ヤソシケ	야솟게	Ya-Soske	141.4283333	43.42305556	1	4
ヤクナイムシ	얌굿내	Yam-Kus-Nay	140.33	42.23	1	4
ヤムペ	얌베	Yam-Pe	142.3830556	43.24305556	1	4
ヤペッム	얌벧	Yam-Pet	144.5202778	43.92027778	1	4
ヤムワッカナイ	얌와까내	Yam-Wakka-Nay	143.7833333	43.51444444	1	4
ヤムワッカナイ	얌와까내	Yam-Wakka-Nay	141.66	45.40361111	1	16
ヤムワッカル	얌와까루	Yam-Wakka-Ru	142.3241667	45.15361111	1	4
ヤンケナイ	얀게내	Yanke-Nay	140.6194444	41.78694444	1	4
ユペッ	유벧	Yu-Pet	140.2827778	42.75027778	1	4
ユプトゥ	유부두	Yu-Putu	141.7280556	42.62722222	1	4
ユト	유도	Yu-To	143.4772222	42.68083333	1	4
ユクチセ	육지세	Yuk-Cise	142.1161111	42.50027778	1	4
ユクウトラシペッ	육두라시벧	Yuk-Turasi-Pet	142.5688889	43.16305556	1	4
ユペオッ	유베옫	Yupe-Ot	141.9338889	43.61194444	1	4
