key	longitude	latitude	overall_length	texture	first_year	last_year
DolmenKR237	126.3	38.7953	50	Dolmen	-700	-200
DolmenKR238	125.924	38.789	50	Dolmen	-700	-200
DolmenKR239	126.06	38.789	50	Dolmen	-700	-200
DolmenKR240	126.14	38.789	50	Dolmen	-700	-200
DolmenKR241	126.336	38.78	50	Dolmen	-700	-200
DolmenKR242	126.984	38.78	50	Dolmen	-700	-200
DolmenKR243	127.032	38.7704	50	Dolmen	-700	-200
DolmenKR244	125.82	38.7701	50	Dolmen	-700	-200
DolmenKR245	126.004	38.7638	50	Dolmen	-700	-200
DolmenKR246	126.378	38.7608	50	Dolmen	-700	-200
DolmenKR247	125.372	38.7575	50	Dolmen	-700	-200
DolmenKR248	126.108	38.7512	50	Dolmen	-700	-200
DolmenKR249	126.252	38.7512	50	Dolmen	-700	-200
DolmenKR250	126.414	38.7464	50	Dolmen	-700	-200
DolmenKR251	125.884	38.7449	50	Dolmen	-700	-200
DolmenKR252	126.308	38.7449	50	Dolmen	-700	-200
DolmenKR253	125.94	38.7386	50	Dolmen	-700	-200
DolmenKR254	126.148	38.7386	50	Dolmen	-700	-200
DolmenKR255	126.372	38.7323	50	Dolmen	-700	-200
DolmenKR256	126.36	38.7272	50	Dolmen	-700	-200
DolmenKR257	126.044	38.726	50	Dolmen	-700	-200
DolmenKR258	127.044	38.726	50	Dolmen	-700	-200
DolmenKR259	127.02	38.7224	50	Dolmen	-700	-200
DolmenKR260	126.092	38.7134	50	Dolmen	-700	-200
DolmenKR261	127.084	38.7134	50	Dolmen	-700	-200
DolmenKR262	126.42	38.7071	50	Dolmen	-700	-200
DolmenKR263	126.402	38.7032	50	Dolmen	-700	-200
DolmenKR264	126.972	38.7032	50	Dolmen	-700	-200
DolmenKR265	126.172	38.6882	50	Dolmen	-700	-200
DolmenKR266	125.946	38.684	50	Dolmen	-700	-200
DolmenKR267	126.116	38.6819	50	Dolmen	-700	-200
DolmenKR268	126.356	38.6819	50	Dolmen	-700	-200
DolmenKR269	126.036	38.6792	50	Dolmen	-700	-200
DolmenKR270	125.718	38.6744	50	Dolmen	-700	-200
DolmenKR271	125.856	38.6696	50	Dolmen	-700	-200
DolmenKR272	127.06	38.663	50	Dolmen	-700	-200
DolmenKR273	125.916	38.66	50	Dolmen	-700	-200
DolmenKR274	125.262	38.6552	50	Dolmen	-700	-200
DolmenKR275	125.454	38.6504	50	Dolmen	-700	-200
DolmenKR276	127.012	38.6504	50	Dolmen	-700	-200
DolmenKR277	126.388	38.6504	50	Dolmen	-700	-200
DolmenKR278	125.82	38.6456	50	Dolmen	-700	-200
DolmenKR279	125.994	38.6456	50	Dolmen	-700	-200
DolmenKR280	126.912	38.6456	50	Dolmen	-700	-200
DolmenKR281	125.772	38.6408	50	Dolmen	-700	-200
DolmenKR282	125.874	38.636	50	Dolmen	-700	-200
DolmenKR283	126.054	38.636	50	Dolmen	-700	-200
DolmenKR284	125.244	38.6312	50	Dolmen	-700	-200
DolmenKR285	125.412	38.6264	50	Dolmen	-700	-200
DolmenKR286	125.7	38.6264	50	Dolmen	-700	-200
DolmenKR287	126.852	38.6264	50	Dolmen	-700	-200
DolmenKR288	125.946	38.6216	50	Dolmen	-700	-200
DolmenKR289	125.652	38.6168	50	Dolmen	-700	-200
DolmenKR290	125.742	38.612	50	Dolmen	-700	-200
DolmenKR291	126.018	38.6072	50	Dolmen	-700	-200
DolmenKR292	125.34	38.6024	50	Dolmen	-700	-200
DolmenKR293	125.22	38.5928	50	Dolmen	-700	-200
DolmenKR294	125.88	38.5928	50	Dolmen	-700	-200
DolmenKR295	126.906	38.5928	50	Dolmen	-700	-200
DolmenKR296	125.532	38.588	50	Dolmen	-700	-200
DolmenKR297	125.97	38.588	50	Dolmen	-700	-200
DolmenKR298	126.954	38.588	50	Dolmen	-700	-200
DolmenKR299	126.84	38.5832	50	Dolmen	-700	-200
DolmenKR300	125.286	38.5784	50	Dolmen	-700	-200
DolmenKR301	125.442	38.5784	50	Dolmen	-700	-200
DolmenKR302	125.484	38.5784	50	Dolmen	-700	-200
DolmenKR303	125.688	38.5736	50	Dolmen	-700	-200
DolmenKR304	125.388	38.564	50	Dolmen	-700	-200
DolmenKR305	125.736	38.564	50	Dolmen	-700	-200
DolmenKR306	125.952	38.5592	50	Dolmen	-700	-200
DolmenKR307	125.142	38.5544	50	Dolmen	-700	-200
DolmenKR308	125.496	38.5448	50	Dolmen	-700	-200
DolmenKR309	126.894	38.5448	50	Dolmen	-700	-200
DolmenKR310	125.268	38.54	50	Dolmen	-700	-200
DolmenKR311	125.886	38.54	50	Dolmen	-700	-200
DolmenKR312	126.84	38.54	50	Dolmen	-700	-200
DolmenKR313	125.208	38.5352	50	Dolmen	-700	-200
DolmenKR314	125.532	38.5352	50	Dolmen	-700	-200
DolmenKR315	125.586	38.5352	50	Dolmen	-700	-200
DolmenKR316	125.754	38.5352	50	Dolmen	-700	-200
DolmenKR317	125.712	38.5256	50	Dolmen	-700	-200
DolmenKR318	126.228	38.5256	50	Dolmen	-700	-200
DolmenKR319	126.318	38.5256	50	Dolmen	-700	-200
DolmenKR320	126.948	38.5256	50	Dolmen	-700	-200
DolmenKR321	125.43	38.5208	50	Dolmen	-700	-200
DolmenKR322	125.658	38.5208	50	Dolmen	-700	-200
DolmenKR323	125.136	38.516	50	Dolmen	-700	-200
DolmenKR324	125.478	38.516	50	Dolmen	-700	-200
DolmenKR325	125.538	38.5064	50	Dolmen	-700	-200
DolmenKR326	125.4	38.5016	50	Dolmen	-700	-200
DolmenKR327	125.586	38.5016	50	Dolmen	-700	-200
DolmenKR328	125.76	38.5016	50	Dolmen	-700	-200
DolmenKR329	126.876	38.5016	50	Dolmen	-700	-200
DolmenKR330	126.816	38.4968	50	Dolmen	-700	-200
DolmenKR331	128.298	38.4968	50	Dolmen	-700	-200
DolmenKR332	125.448	38.492	50	Dolmen	-700	-200
DolmenKR333	126.12	38.492	50	Dolmen	-700	-200
DolmenKR334	125.7	38.4872	50	Dolmen	-700	-200
DolmenKR335	125.988	38.4872	50	Dolmen	-700	-200
DolmenKR336	125.208	38.4824	50	Dolmen	-700	-200
DolmenKR337	126.192	38.4728	50	Dolmen	-700	-200
DolmenKR338	126.3	38.4728	50	Dolmen	-700	-200
DolmenKR339	125.742	38.4632	50	Dolmen	-700	-200
DolmenKR340	126.864	38.4632	50	Dolmen	-700	-200
DolmenKR341	125.622	38.4584	50	Dolmen	-700	-200
DolmenKR342	125.67	38.4536	50	Dolmen	-700	-200
DolmenKR343	128.34	38.4536	50	Dolmen	-700	-200
DolmenKR344	126.822	38.4488	50	Dolmen	-700	-200
DolmenKR345	125.808	38.444	50	Dolmen	-700	-200
DolmenKR346	126.234	38.444	50	Dolmen	-700	-200
DolmenKR347	126.156	38.4392	50	Dolmen	-700	-200
DolmenKR348	126.096	38.4344	50	Dolmen	-700	-200
DolmenKR349	125.568	38.4296	50	Dolmen	-700	-200
DolmenKR350	125.52	38.4248	50	Dolmen	-700	-200
DolmenKR351	125.706	38.4152	50	Dolmen	-700	-200
DolmenKR352	125.772	38.4152	50	Dolmen	-700	-200
DolmenKR353	125.634	38.4104	50	Dolmen	-700	-200
DolmenKR354	127.05	38.4104	50	Dolmen	-700	-200
DolmenKR355	128.346	38.4104	50	Dolmen	-700	-200
DolmenKR356	126.816	38.4056	50	Dolmen	-700	-200
DolmenKR357	128.292	38.4056	50	Dolmen	-700	-200
DolmenKR358	125.46	38.4008	50	Dolmen	-700	-200
DolmenKR359	126.96	38.396	50	Dolmen	-700	-200
