Z	Y	Distance X	Distance Y	Area XY
16	32137	610.388	606.317	370088.621
16	32136	610.385	606.313	370084.3605
16	32135	610.381	606.31	370080.1041
16	32134	610.378	606.306	370075.8437
16	32133	610.374	606.303	370071.5873
16	32132	610.371	606.3	370067.9373
16	32131	610.367	606.296	370063.0706
16	32130	610.363	606.293	370058.8144
16	32129	610.36	606.289	370054.554
16	32128	610.356	606.286	370050.2978
16	32127	610.353	606.282	370046.0375
16	32126	610.349	606.279	370041.7814
16	32125	610.346	606.275	370037.5212
16	32124	610.342	606.272	370033.265
16	32123	610.338	606.268	370028.3986
16	32122	610.335	606.265	370024.7488
16	32121	610.331	606.261	370019.8824
16	32120	610.328	606.258	370016.2326
16	32119	610.324	606.254	370011.3663
16	32118	610.32	606.25	370006.5
16	32117	610.317	606.247	370002.8503
16	32116	610.313	606.243	369997.9841
16	32115	610.31	606.24	369994.3344
16	32114	610.306	606.236	369989.4682
16	32113	610.302	606.233	369985.2124
16	32112	610.299	606.229	369980.9525
16	32111	610.295	606.226	369976.6967
16	32110	610.291	606.222	369971.8306
16	32109	610.288	606.218	369967.5708
16	32108	610.284	606.215	369963.3151
16	32107	610.28	606.211	369958.4491
16	32106	610.277	606.208	369954.7996
16	32105	610.273	606.204	369949.9337
16	32104	610.269	606.2	369945.0678
16	32103	610.266	606.197	369941.4184
16	32102	610.262	606.193	369936.5526
16	32101	610.258	606.189	369931.6868
16	32100	610.255	606.186	369928.0374
16	32099	610.251	606.182	369923.1717
16	32098	610.247	606.179	369918.9162
16	32097	610.243	606.175	369914.0505
16	32096	610.24	606.171	369909.791
16	32095	610.236	606.168	369905.5356
16	32094	610.232	606.164	369900.67
16	32093	610.228	606.16	369895.8045
16	32092	610.225	606.157	369892.1553
16	32091	610.221	606.153	369887.2898
16	32090	610.217	606.149	369882.4243
16	32089	610.213	606.145	369877.5589
16	32088	610.21	606.142	369873.9098
16	32087	610.206	606.138	369869.0444
16	32086	610.202	606.134	369864.1791
16	32085	610.198	606.131	369859.9239
16	32084	610.194	606.127	369855.0586
16	32083	610.191	606.123	369850.7995
16	32082	610.187	606.119	369845.9343
16	32081	610.183	606.116	369841.6792
16	32080	610.179	606.112	369836.814
16	32079	610.175	606.108	369831.9489
16	32078	610.171	606.104	369827.0838
16	32077	610.168	606.101	369823.435
16	32076	610.164	606.097	369818.5699
16	32075	610.16	606.093	369813.7049
16	32074	610.156	606.089	369808.8399
16	32073	610.152	606.086	369804.5851
16	32072	610.148	606.082	369799.7201
16	32071	610.145	606.078	369795.4613
16	32070	610.141	606.074	369790.5964
16	32069	610.137	606.07	369785.7316
16	32068	610.133	606.067	369781.4769
16	32067	610.129	606.063	369776.6121
16	32066	610.125	606.059	369771.7474
16	32065	610.121	606.055	369766.8827
16	32064	610.117	606.051	369762.018
16	32063	610.113	606.047	369757.1533
16	32062	610.109	606.044	369752.8988
16	32061	610.105	606.04	369748.0342
16	32060	610.102	606.036	369743.7757
16	32059	610.098	606.032	369738.9111
16	32058	610.094	606.028	369734.0466
16	32057	610.09	606.024	369729.1822
16	32056	610.086	606.02	369724.3177
16	32055	610.082	606.017	369720.0634
16	32054	610.078	606.013	369715.199
16	32053	610.074	606.009	369710.3347
16	32052	610.07	606.005	369705.4704
16	32051	610.066	606.001	369700.6061
16	32050	610.062	605.997	369695.7418
16	32049	610.058	605.993	369690.8776
16	32048	610.054	605.989	369686.0134
16	32047	610.05	605.985	369681.1493
16	32046	610.046	605.981	369676.2851
16	32045	610.042	605.977	369671.421
16	32044	610.038	605.974	369667.167
16	32043	610.034	605.97	369662.303
16	32042	610.03	605.966	369657.439
16	32041	610.026	605.962	369652.575
16	32040	610.022	605.958	369647.7111
16	32039	610.018	605.954	369642.8472
16	32038	610.014	605.95	369637.9833
16	32037	610.01	605.946	369633.1195
16	32036	610.006	605.942	369628.2557
16	32035	610.001	605.938	369622.7859
16	32034	609.997	605.934	369617.9222
16	32033	609.993	605.93	369613.0585
16	32032	609.989	605.926	369608.1948
