key	value
Roma770	Giv'at Olga
Roma771	Stratonos Pyrgos/Caesarea
Roma772	Krokodeilonpolis
Roma773	Syna M.
Roma774	Tel Mevorakh
Roma775	Kefar Shuni
Roma776	Ramat ha-Nadiv
Roma777	Gerasa/Antiochia ad Chrysorhoam
Roma778	Rujm Abu Muheir
Roma779	Sartaba/Alexandreion
Roma780	Korea(i)
Roma781	Thena
Roma782	Khirbet Basaliyye
Roma783	Tananir
Roma785	el Qal'a
Roma786	Neapolis
Roma787	ʿĂfulȧ
Roma788	Khirbet et Tira
Roma789	Tananir
Roma791	el Qal'a
Roma792	Neapolis
Roma793	ʿĂfulȧ
Roma794	Ierusalem/Hierosolyma/Col. Aelia Capitolina
Roma795	'Ir David/Wadi Hilweh
Roma796	Bethania
Roma797	Beth Dagon
Roma798	Ono
Roma799	Sapharea?
Roma800	Tel Dalit
Roma801	Lydda/Diospolis/Georgioupolis
Roma803	Gamzo
Roma804	Sapharea?
Roma805	Lydda/Diospolis/Georgioupolis
Roma806	Gamzo
Roma808	Tel Dalit
Roma809	Emmaus/Nicopolis
Roma811	Selebi
Roma812	Aialon
Roma813	Caphar Ruta
Roma814	Horvat Mezad
Roma815	Bethoron Katotera
Roma816	Adra(h)a
Roma817	Bostra/Col. Nova Traiana Alexandriana
Roma818	Beth Zur/Bethsoura
Roma820	Caphar Baricha
Roma821	Ziph
Roma822	Maioma Ascalonitis
Roma823	Ashqelon/Ascalon
Roma824	Beth Zur/Bethsoura
Roma826	Caphar Baricha
Roma827	Ziph
Roma828	Ietta
Roma829	Chermela
Roma830	Eboda
Roma831	Kalgouia?
Roma832	Ashdod/Azotos (Mesogeios)
Roma833	Tel Mor
Roma834	Azotos Paralios
Roma835	En Boqeq
Roma836	Mezad Zafir
Roma837	Horvat Zafir
Roma838	Rogem Zafir
Roma839	Qasr Taiyibeh
Roma840	Qasr Taiyibeh
Roma841	Bir Madkhur
Roma842	Zoara
Roma843	Khirbet Dubab
Roma844	El-‘Iraq
Roma845	Khirbet Dubab
Roma847	Castra Mefaa
Roma848	Bostra/Col. Nova Traiana Alexandriana
Roma849	Orsoua
Roma850	Dionysias/*Soada
Roma851	Arra
Roma852	Seia
Roma853	*Athela
Roma854	Canatha/*Gabinia/*Septimia
Roma855	Orsoua
Roma856	Arra
Roma857	Dionysias/*Soada
Roma858	Seia
Roma859	*Athela
